0.000160915 0 0 0
0.000366326 1 0 0
8.40874 0 1 0
-0.000253743 0 0 1
0.000252947 2 0 0
0.241196 1 1 0
-0.000583024 0 2 0
-0.00128663 1 0 1
0.0855631 0 1 1
-0.000795879 0 0 2
0 3 0 0
-0.0390564 2 1 0
-0.00107489 1 2 0
0.00403267 0 3 0
-0.00138309 2 0 1
0.00528182 1 1 1
-0.000245854 0 2 1
-0.00159663 1 0 2
-0.0138051 0 1 2
-0.000723887 0 0 3
0 4 0 0
-0.0130761 3 1 0
-0.000464331 2 2 0
-0.000185336 1 3 0
0 0 4 0
-0.000418777 3 0 1
-0.00944312 2 1 1
-0.000187223 1 2 1
0.000657829 0 3 1
-0.00075573 2 0 2
-0.00581555 1 1 2
0 0 2 2
-0.000577908 1 0 3
0.000673477 0 1 3
0 0 0 4
