937.404 0 0 0 0
68.1311 1 0 0 0
-60 0 1 0 0
0.112187 0 0 1 0
-0.0332887 0 0 0 1
2.50076 2 0 0 0
-9.68989 1 1 0 0
10.2201 0 2 0 0
-0.839189 1 0 1 0
-0.00886315 0 1 1 0
0.504609 0 0 2 0
0.309224 1 0 0 1
0.0314926 0 1 0 1
-0.538269 0 0 1 1
0.291097 0 0 0 2
-1.25949 3 0 0 0
3.10436 2 1 0 0
-1.61005 1 2 0 0
-0.33648 0 3 0 0
-0.0389184 2 0 1 0
0.763666 1 1 1 0
-0.446709 0 2 1 0
0.340063 1 0 2 0
0.0121005 0 1 2 0
-0.169146 0 0 3 0
-0.182798 2 0 0 1
-0.354119 1 1 0 1
0.121372 0 2 0 1
-0.317774 1 0 1 1
0.186019 0 1 1 1
0.29763 0 0 2 1
0.104655 1 0 0 2
-0.18015 0 1 0 2
-0.16303 0 0 1 2
0.0267937 0 0 0 3
1.81289 4 0 0 0
-1.84941 3 1 0 0
1.66368 2 2 0 0
-0.808297 1 3 0 0
0.118127 0 4 0 0
1.42842 3 0 1 0
0.071301 2 1 1 0
-1.50682 1 2 1 0
0.932738 0 3 1 0
-0.466383 2 0 2 0
0.61998 1 1 2 0
-0.0377995 0 2 2 0
0.124485 1 0 3 0
0.300712 0 1 3 0
-0.548047 0 0 4 0
-0.647218 3 0 0 1
-0.209314 2 1 0 1
0.782388 1 2 0 1
-0.552437 0 3 0 1
0.113171 2 0 1 1
-0.171947 1 1 1 1
-0.103531 0 2 1 1
-0.788761 1 0 2 1
-0.29378 0 1 2 1
0.681135 0 0 3 1
0.0543771 2 0 0 2
-0.0284219 1 1 0 2
0.0101982 0 2 0 2
0.870458 1 0 1 2
0.0489763 0 1 1 2
-0.00343718 0 0 2 2
-0.234114 1 0 0 3
0.00472118 0 1 0 3
-0.225275 0 0 1 3
0.0504706 0 0 0 4
